사용월,호선명,역ID,지하철역,20승차,20하차,21승차,21하차,22승차,22하차,23승차,23하차,00승차,00하차
Aug-21,1호선,1,서울역,47289,25080,51106,21490,27974,13638,7756,4968,21,444
Aug-21,1호선,10,동묘앞,5031,3835,4235,3839,2678,3706,577,1759,4,827
Aug-21,1호선,2,시청,31787,3793,27796,3501,13739,2205,2462,822,3,72
Aug-21,1호선,3,종각,53338,5331,52175,3551,24776,2276,3340,951,11,112
Aug-21,1호선,4,종로3가,34790,4850,36333,3834,20598,2789,2893,1345,20,316
Aug-21,1호선,5,종로5가,23306,4214,19554,3305,9855,2349,1551,1150,4,330
Aug-21,1호선,6,동대문,10336,10356,9669,8870,6514,7191,1633,5983,7,1043
Aug-21,1호선,7,신설동,11610,10231,9764,9428,5955,7268,1352,3747,15,390
Aug-21,1호선,8,제기동,8806,10036,7332,9529,4831,7297,1444,3233,7,236
Aug-21,1호선,9,청량리(서울시립대입구),14062,15132,10426,14510,5337,10872,1251,4411,11,425
Aug-21,2호선,11,시청,27911,3122,23620,3189,11023,2069,1676,870,1,28
Aug-21,2호선,12,을지로입구,72237,8949,41678,8256,20327,6214,3086,1972,0,777
Aug-21,2호선,13,을지로3가,28341,4862,29151,4021,16870,3056,2718,989,0,89
Aug-21,2호선,14,을지로4가,12952,2572,9733,2354,6038,1835,1159,708,0,55
Aug-21,2호선,15,동대문역사문화공원(DDP),14975,10423,17012,8292,9174,6442,2424,3592,0,205
Aug-21,2호선,16,신당,12937,15005,12194,14112,7833,11817,1739,4635,3,46
Aug-21,2호선,17,상왕십리,9979,18185,9316,16927,5847,14398,1186,5875,2,9
Aug-21,2호선,18,왕십리(성동구청),17121,14302,19110,13039,14335,12005,3022,4879,2,35
Aug-21,2호선,19,한양대,6468,3646,6212,3704,5413,3080,1775,1372,1,2
Aug-21,2호선,20,뚝섬,31198,10935,27889,9871,15186,8060,2445,3257,2,36
Aug-21,2호선,21,성수,51808,13856,47034,11619,25564,9718,3447,5278,6,1224
Aug-21,2호선,22,건대입구,51677,41238,60740,40830,38481,32156,5895,13207,11,1461
Aug-21,2호선,23,구의(광진구청),14091,37122,13916,34996,10893,28727,3379,9784,3,688
Aug-21,2호선,24,강변(동서울터미널),27719,39851,24136,33370,14957,29367,3732,8248,3,192
Aug-21,2호선,25,잠실나루,8856,13934,6712,13378,4386,12124,1186,3673,3,17
Aug-21,2호선,26,잠실(송파구청),109713,69950,88119,64727,49106,53391,7825,17073,5,56
Aug-21,2호선,27,잠실새내,21910,24206,21957,20714,16532,18944,3029,5993,0,203
Aug-21,2호선,28,종합운동장,5135,8116,5044,8156,3870,7384,697,2266,5,151
Aug-21,2호선,29,삼성(무역센터),91086,12471,69921,10586,31898,7613,4348,2552,0,1036
Aug-21,2호선,30,선릉,69492,14791,67774,13723,50072,11318,6987,4100,2,48
Aug-21,2호선,31,역삼,66771,16029,60382,13097,35770,10301,6676,4088,0,6
Aug-21,2호선,32,강남,138452,34635,157847,27783,105997,21970,12509,8377,5,15
Aug-21,2호선,33,교대(법원.검찰청),41438,17586,44108,15541,31053,13851,4744,4555,0,34
Aug-21,2호선,34,서초,21932,8129,21462,7761,13820,6770,2670,1967,0,6
Aug-21,2호선,35,방배,15379,13878,15569,13565,10948,11901,2121,3587,0,5
Aug-21,2호선,36,사당,40884,49449,42009,47690,28774,40903,5941,14628,1,756
Aug-21,2호선,37,낙성대(강감찬),17363,46423,17503,44464,11862,41108,3253,14427,3,854
Aug-21,2호선,38,서울대입구(관악구청),38875,70955,40283,66924,29761,61513,6170,22130,2,4107
Aug-21,2호선,39,봉천,12780,38119,12388,36924,8458,29537,2063,10882,0,84
Aug-21,2호선,40,신림,39377,113584,40159,112778,29976,92790,6404,39177,0,15
Aug-21,2호선,41,신대방,13671,46735,11070,51504,7730,41164,2227,16448,0,0
Aug-21,2호선,42,구로디지털단지,51419,67092,42175,69767,25985,57480,5079,21926,2,10
Aug-21,2호선,43,대림(구로구청),15484,31979,12572,42729,7978,31124,2172,10513,4,293
Aug-21,2호선,44,신도림,48176,56601,47831,55446,25759,49252,5234,21562,7,3896
Aug-21,2호선,45,문래,20253,16057,21718,14419,11378,11647,2308,4443,1,66
Aug-21,2호선,46,영등포구청,20966,16797,19575,16125,11188,12543,2507,5768,2,75
Aug-21,2호선,47,당산,16816,25357,17025,24595,11786,18866,2580,7776,1,108
Aug-21,2호선,48,합정,49814,26970,54133,24131,37544,18752,7242,8659,3,234
Aug-21,2호선,49,홍대입구,104619,41114,125516,32325,83053,27180,11607,13219,58,1189
Aug-21,2호선,50,신촌,51696,25777,53911,24030,39095,19120,6083,8528,0,4
Aug-21,2호선,51,이대,12581,13596,12060,14293,8554,12120,1920,5610,1,4
Aug-21,2호선,52,아현,6589,13294,5338,12985,3498,10536,849,3756,0,4
Aug-21,2호선,53,충정로(경기대입구),7324,7705,6314,7971,3724,6387,645,2445,1,57
Aug-21,2호선,54,용답,1235,3869,1002,5147,866,4076,254,1559,0,5
Aug-21,2호선,55,신답,489,2947,465,2764,351,2224,77,921,0,4
Aug-21,2호선,56,신설동,2281,2077,1827,1815,1249,1467,296,720,2,98
Aug-21,2호선,57,도림천,738,1306,637,1240,314,994,133,464,0,20
Aug-21,2호선,58,양천구청,2160,11573,1915,10617,1861,8718,334,3724,3,259
Aug-21,2호선,59,신정네거리,4670,16741,3621,14568,2640,12706,538,5211,4,322
Aug-21,2호선,60,용두(동대문구청),1261,2474,1254,2439,526,1701,109,676,0,13
Aug-21,3호선,61,지축,1363,7522,876,6813,795,5864,239,1639,0,0
Aug-21,3호선,62,구파발,13391,28093,12356,22977,6591,19726,1058,9514,8,1241
Aug-21,3호선,63,연신내,22180,57122,21420,51825,14043,43528,2319,18830,2,842
Aug-21,3호선,64,불광,10877,23153,9234,19212,5222,15852,942,6711,0,139
Aug-21,3호선,65,녹번,5951,24896,4996,22384,3422,17374,662,6795,0,21
Aug-21,3호선,66,홍제,8751,23646,6987,21753,4339,16333,874,7071,1,2
Aug-21,3호선,67,무악재,1862,6525,1457,5697,1015,4624,271,1779,0,1
Aug-21,3호선,68,독립문,4288,6826,3332,6153,2437,5380,375,1980,0,1138
Aug-21,3호선,69,경복궁(정부서울청사),25273,8196,23042,7427,10861,6257,1718,2299,1,66
Aug-21,3호선,70,안국,25053,4252,19976,3617,10275,2824,1469,1233,0,15
Aug-21,3호선,71,종로3가,14840,1942,14846,1811,7676,1118,1332,687,3,55
Aug-21,3호선,72,을지로3가,13566,1883,12583,1411,7197,959,1144,551,0,42
Aug-21,3호선,73,충무로,2,0,0,0,1,0,0,0,0,0
Aug-21,3호선,74,동대입구,8181,3449,9667,3909,7144,3149,1150,1241,2,141
Aug-21,3호선,75,약수,11342,14214,11069,13608,6891,11169,1313,3967,0,724
Aug-21,3호선,76,금호,4995,12185,4005,10368,2739,8856,511,2800,0,1
Aug-21,3호선,77,옥수,7589,13424,6793,11855,4553,10385,1040,3283,0,39
Aug-21,3호선,78,압구정,64992,11261,48586,8710,27695,6732,2951,2241,5,499
Aug-21,3호선,79,신사,53864,9698,59630,7839,32704,5884,3525,2519,1,71
Aug-21,3호선,80,잠원,3518,4947,3681,4719,2458,5157,370,1310,1,3
Aug-21,3호선,81,고속터미널,97789,29636,55012,21935,32355,14736,8075,5506,13,203
Aug-21,3호선,82,교대(법원.검찰청),16726,3165,17719,2785,14670,2427,1337,997,0,5
Aug-21,3호선,83,남부터미널(예술의전당),35928,18326,35709,13911,20950,9823,3276,4261,1,31
Aug-21,3호선,84,양재(서초구청),47765,24268,42382,21284,21977,15406,2916,7130,8,645
Aug-21,3호선,85,매봉,12394,7061,13417,5958,6496,5439,918,2388,2,273
Aug-21,3호선,86,도곡,4812,3896,4247,3556,3395,2844,487,1106,3,454
Aug-21,3호선,87,대치,10896,9355,16232,8563,27662,7256,1126,2994,0,5
Aug-21,3호선,88,학여울,1421,1645,1260,1379,979,1319,119,504,0,1
Aug-21,3호선,89,대청,5923,11639,4675,10467,3288,10750,539,3691,0,38
Aug-21,3호선,90,일원,4788,8290,3401,7934,2841,7838,533,2054,1,27
Aug-21,3호선,91,수서,19284,18667,11380,15258,10553,14718,2129,3526,0,345
Aug-21,3호선,92,가락시장,6961,8850,6118,7135,3334,6121,487,2282,1,627
Aug-21,3호선,93,경찰병원,4576,8829,4101,6823,2459,6023,400,2155,1,498
Aug-21,3호선,94,오금,2734,8288,2296,7325,1770,7601,288,2735,0,611
Aug-21,4호선,100,수유(강북구청),23210,53910,21564,48651,14108,38549,3340,18441,1,302
Aug-21,4호선,101,미아(서울사이버대학),8069,21505,6757,18928,4457,15110,1052,6869,1,31
Aug-21,4호선,102,미아사거리,25419,39251,15119,35793,9287,27329,1909,10334,0,0
Aug-21,4호선,103,길음,10314,30527,7855,27026,7685,22649,1553,8533,0,1
Aug-21,4호선,104,성신여대입구(돈암),21278,24562,23224,22481,16409,19373,2977,7434,0,0
Aug-21,4호선,105,한성대입구(삼선교),10642,15447,9728,14656,7235,12974,1578,5576,1,1201
Aug-21,4호선,106,혜화,49782,13381,66936,14034,38513,11533,6064,4785,1,197
Aug-21,4호선,107,동대문,15562,7171,18668,4565,8092,2982,1734,3215,5,29
Aug-21,4호선,108,동대문역사문화공원(DDP),21532,8005,20925,6116,13593,4169,3211,3077,2,243
Aug-21,4호선,109,충무로,36782,7502,32730,7299,17689,5796,3723,2652,1,182
Aug-21,4호선,110,명동,29410,4446,22732,3392,9361,2311,1206,860,1,88
Aug-21,4호선,111,회현(남대문시장),35739,3885,13319,3989,6111,2400,1411,1099,0,120
Aug-21,4호선,112,서울역,9830,10605,8605,9653,5017,7906,1311,3029,0,600
Aug-21,4호선,113,숙대입구(갈월),12964,10706,13174,10393,8185,7784,1448,2948,1,10
Aug-21,4호선,114,삼각지,5716,4371,6188,3969,3519,3300,677,1400,1,128
Aug-21,4호선,115,신용산,23106,8133,19642,6594,10750,4911,2049,1468,0,2
Aug-21,4호선,116,이촌(국립중앙박물관),6717,6855,6378,5896,3234,4804,633,1646,1,8
Aug-21,4호선,117,동작(현충원),2688,2400,2594,1884,1707,1445,397,740,2,140
Aug-21,4호선,118,총신대입구(이수),18788,21834,16483,18592,9952,14826,1399,5679,1,45
Aug-21,4호선,119,사당,21143,25577,21326,23448,14537,19652,2657,8504,3,815
Aug-21,4호선,120,남태령,960,812,575,818,242,621,64,221,1,34
Aug-21,4호선,95,당고개,6238,20525,4805,19172,3067,15516,623,7046,0,89
Aug-21,4호선,96,상계,9169,31369,8716,27651,8873,22778,1392,10541,0,2
Aug-21,4호선,97,노원,22262,28376,21378,24808,14519,20272,1865,8906,12,1553
Aug-21,4호선,98,창동,16687,39031,15935,33729,10000,26687,2223,11771,144,1826
Aug-21,4호선,99,쌍문,12857,52242,11117,45573,7207,36113,1899,16443,3,441
Aug-21,경부선,121,서울역,6530,1665,9788,1386,5749,1184,2223,140,6,6
Aug-21,경부선,122,남영,9313,7275,9561,7188,6039,5579,1068,2364,5,153
Aug-21,경부선,123,용산,69802,21255,60428,16115,32916,7711,6658,2914,38,397
Aug-21,경부선,124,노량진,10134,9657,12288,9120,8624,6973,1038,3080,17,215
Aug-21,경부선,125,대방,9907,13703,9266,13542,5303,9974,1002,3951,32,423
Aug-21,경부선,126,영등포,74616,27668,57129,21763,35425,15796,6072,6494,28,813
Aug-21,경부선,127,신도림,3975,3973,4152,3747,2291,2749,624,1298,5,474
Aug-21,경부선,151,신길,6152,9269,5773,10379,3682,7537,933,3254,15,446
Aug-21,경부선,249,구로,16267,16587,14666,16338,8528,13260,1752,9020,6,3853
Aug-21,경부선,250,가산디지털단지,22027,10250,17591,10668,8216,7999,1416,2986,42,577
Aug-21,경부선,251,금천구청,6991,15084,5916,14889,3797,11355,684,4212,11,239
Aug-21,경부선,252,석수,5303,12608,4229,13172,2622,9902,580,3257,15,228
Aug-21,경부선,253,관악,3702,10090,3470,9630,1555,7835,464,3031,8,211
Aug-21,경부선,254,안양,17973,30315,18656,25261,11333,19020,2087,9393,36,631
Aug-21,경부선,255,명학,9908,8732,5469,7457,3145,6636,644,3295,4,103
Aug-21,경부선,256,금정,20802,33782,17425,34903,10068,26965,2620,13417,26,1335
Aug-21,경부선,257,군포,8529,6858,4921,5933,3044,4796,586,1846,5,44
Aug-21,경부선,258,의왕,5867,12669,4950,10112,2580,8214,768,4108,13,104
Aug-21,경부선,259,성균관대,8771,25080,8714,21331,6081,16356,1392,7275,14,285
Aug-21,경부선,260,화서,3335,13313,2720,9587,2208,8177,502,3381,6,392
Aug-21,경부선,261,수원,65015,40112,49711,32006,31663,24672,6208,11136,48,2436
Aug-21,경부선,262,독산,15720,16176,10844,16345,5897,13087,1242,4178,36,294
Aug-21,경부선,263,세류,2045,4640,1869,4353,1084,3254,235,1412,3,315
Aug-21,경부선,264,병점,11396,25094,9675,19961,6393,17020,1406,7568,5,2361
Aug-21,경부선,265,세마,1613,3793,1376,3845,742,2785,246,1205,13,79
