date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated
0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0
2,1,0,0,0,0,0,0
3,2,1,0,0,0,0,0
4,2,0,0,0,0,0,0
5,3,1,0,0,0,0,0
6,4,1,0,0,0,0,0
7,4,0,0,0,0,0,0
8,4,0,0,0,0,0,0
9,4,0,0,0,0,0,0
10,11,7,0,0,0,0,0
11,12,1,0,0,0,0,0
12,15,3,0,0,0,0,0
13,15,0,0,0,0,0,0
14,16,1,0,0,0,0,0
15,19,3,0,0,0,0,0
16,23,4,0,0,0,0,0
17,24,1,0,0,0,0,0
18,24,0,0,0,0,0,0
19,25,1,0,0,0,0,0
20,27,2,0,0,0,0,0
21,28,1,0,0,0,0,0
22,28,0,0,0,0,0,0
23,28,0,0,0,0,0,0
24,28,0,0,0,0,0,0
25,28,0,0,0,0,0,0
26,29,1,0,0,0,0,0
27,30,1,0,0,0,0,0
28,31,1,0,0,0,0,0
29,31,0,0,0,0,0,0
30,104,73,1,1,0,0,0
31,204,100,2,1,0,0,0
32,433,229,2,0,0,0,0
33,602,169,6,4,0,0,0
34,833,231,8,2,0,0,0
35,977,144,10,2,0,0,0
36,1261,284,12,2,0,0,0
37,1766,505,13,1,0,0,0
38,2337,571,13,0,0,0,0
39,3150,813,16,3,0,0,0
40,3736,586,17,1,0,0,0
41,4335,599,28,11,0,0,0
42,5186,851,28,0,0,0,0
43,5621,435,35,7,0,0,0
44,6088,467,35,0,0,0,0
45,6593,505,42,7,0,0,0
46,7041,448,44,2,0,0,0
47,7314,273,50,6,0,0,0
48,7478,164,53,3,0,0,0
49,7513,35,54,1,0,0,0
50,7755,242,60,6,0,0,0
51,7869,114,66,6,0,0,0
52,7979,110,66,0,0,0,0
53,8086,107,72,6,0,0,0
54,8162,76,75,3,0,0,0
55,8236,74,75,0,0,0,0
56,8320,84,81,6,0,0,0
57,8413,93,84,3,0,0,0
58,8565,152,91,7,0,0,0
59,8652,87,94,3,0,0,0
60,8799,147,102,8,0,0,0
61,8961,162,111,9,0,0,0
62,8961,0,111,0,0,0,0
63,9037,76,120,9,0,0,0
64,9137,100,126,6,0,0,0
