연도,남자,여자
1970,58.7,65.8
1971,59.1,66.3
1972,59.4,66.8
1973,59.7,67.3
1974,60,67.8
1975,60.3,68.2
1976,60.6,68.6
1977,60.9,69.1
1978,61.1,69.5
1979,61.4,69.9
1980,61.9,70.4
1981,62.4,70.9
1982,62.9,71.4
1983,63.4,71.9
1984,64,72.6
1985,64.6,73.2
1986,65.3,73.8
1987,65.9,74.3
1988,66.5,74.8
1989,67,75.3
1990,67.5,75.9
1991,67.9,76.4
1992,68.4,76.8
1993,68.9,77.3
1994,69.3,77.7
1995,69.7,77.9
1996,70.2,78.3
1997,70.7,78.7
1998,71.2,79
1999,71.8,79.2
2000,72.3,79.7
2001,72.9,80.1
2002,73.4,80.3
2003,73.8,80.7
2004,74.3,81.2
2005,74.9,81.6
2006,75.4,82.1
2007,75.9,82.4
2008,76.2,83
2009,76.7,83.4
2010,76.8,83.6
2011,77.3,84
2012,77.6,84.2
2013,78.1,84.6
2014,78.6,85
2015,79,85.2
2016,79.3,85.4
2017,79.7,85.7
2018,79.7,85.7
2019,80,85.9
2020,80.3,86.1
2021,80.5,86.3
2022,80.8,86.4
2023,81,86.6
2024,81.3,86.8
2025,81.5,86.9
2026,81.7,87.1
2027,82,87.2
2028,82.2,87.4
2029,82.4,87.6
2030,82.6,87.7
2031,82.8,87.8
2032,83,88
2033,83.2,88.1
2034,83.4,88.2
2035,83.6,88.4
2036,83.8,88.5
2037,84,88.6
2038,84.2,88.7
2039,84.4,88.9
2040,84.6,89
2041,84.7,89.1
2042,84.9,89.3
2043,85.1,89.4
2044,85.3,89.5
2045,85.4,89.5
2046,85.6,89.7
2047,85.8,89.8
2048,85.9,89.9
2049,86.1,90
2050,86.2,90.1
2051,86.4,90.2
2052,86.5,90.3
2053,86.7,90.4
2054,86.8,90.5
2055,87,90.6
2056,87.1,90.7
2057,87.2,90.8
2058,87.4,90.9
2059,87.5,91
2060,87.7,91
2061,87.8,91.1
2062,87.9,91.2
2063,88,91.3
2064,88.2,91.4
2065,88.3,91.5
2066,88.4,91.6
2067,88.5,91.7
