date,new_cases,new_deaths,people_vaccinated,people_fully_vaccinated
0,0,0,0,0
1,1,0,0,0
2,0,0,0,0
3,1,0,0,0
4,0,0,0,0
5,1,0,0,0
6,1,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,7,0,0,0
11,1,0,0,0
12,3,0,0,0
13,0,0,0,0
14,1,0,0,0
15,3,0,0,0
16,4,0,0,0
17,1,0,0,0
18,0,0,0,0
19,1,0,0,0
20,2,0,0,0
21,1,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,0,0,0,0
30,73,1,0,0
31,100,1,0,0
32,229,0,0,0
33,169,4,0,0
34,231,2,0,0
35,144,2,0,0
36,284,2,0,0
37,505,1,0,0
38,571,0,0,0
39,813,3,0,0
40,586,1,0,0
41,599,11,0,0
42,851,0,0,0
43,435,7,0,0
44,467,0,0,0
45,505,7,0,0
46,448,2,0,0
47,273,6,0,0
48,164,3,0,0
49,35,1,0,0
50,242,6,0,0
51,114,6,0,0
52,110,0,0,0
53,107,6,0,0
54,76,3,0,0
55,74,0,0,0
56,84,6,0,0
57,93,3,0,0
58,152,7,0,0
59,87,3,0,0
60,147,8,0,0
61,162,9,0,0
62,0,0,0,0
63,76,9,0,0
64,100,6,0,0
65,104,5,0,0
66,91,8,0,0
67,146,5,0,0
68,105,8,0,0
69,78,6,0,0
70,125,4,0,0
71,101,3,0,0
72,89,4,0,0
73,86,5,0,0
74,94,3,0,0
75,81,6,0,0
76,47,3,0,0
77,47,6,0,0
78,53,8,0,0
79,39,4,0,0
80,27,4,0,0
81,30,3,0,0
82,32,3,0,0
83,25,3,0,0
84,27,5,0,0
85,27,3,0,0
86,22,4,0,0
87,22,1,0,0
88,18,2,0,0
89,8,2,0,0
90,13,2,0,0
91,9,1,0,0
92,11,1,0,0
93,14,2,0,0
94,10,0,0,0
95,10,2,0,0
96,10,1,0,0
97,14,1,0,0
98,9,2,0,0
99,4,1,0,0
100,9,1,0,0
101,6,2,0,0
102,13,0,0,0
103,8,2,0,0
104,3,2,0,0
105,2,1,0,0
106,4,1,0,0
107,12,0,0,0
108,18,0,0,0
109,34,0,0,0
110,35,0,0,0
111,27,2,0,0
112,26,1,0,0
113,29,1,0,0
114,27,0,0,0
115,19,2,0,0
116,13,0,0,0
117,15,1,0,0
118,13,0,0,0
119,32,0,0,0
120,12,1,0,0
121,20,0,0,0
122,23,2,0,0
123,25,0,0,0
124,16,1,0,0
125,19,2,0,0
126,40,0,0,0
127,79,0,0,0
128,58,0,0,0
129,39,0,0,0
130,27,1,0,0
131,35,1,0,0
132,38,1,0,0
133,49,1,0,0
134,39,0,0,0
135,39,0,0,0
136,51,0,0,0
137,57,0,0,0
138,38,0,0,0
139,38,1,0,0
140,50,2,0,0
141,45,0,0,0
142,56,1,0,0
143,48,0,0,0
144,34,0,0,0
145,36,0,0,0
146,34,1,0,0
147,43,1,0,0
148,59,1,0,0
149,49,0,0,0
150,67,0,0,0
151,48,0,0,0
152,17,0,0,0
153,46,1,0,0
154,51,0,0,0
155,28,1,0,0
156,39,0,0,0
157,51,0,0,0
158,62,0,0,0
159,42,0,0,0
160,43,0,0,0
161,50,0,0,0
162,54,0,0,0
163,63,0,0,0
164,63,1,0,0
165,61,0,0,0
166,46,1,0,0
167,44,1,0,0
168,63,0,0,0
169,49,2,0,0
170,45,1,0,0
171,35,0,0,0
172,44,1,0,0
173,62,0,0,0
174,33,0,0,0
175,39,0,0,0
176,61,2,0,0
177,60,2,0,0
178,39,1,0,0
179,34,1,0,0
180,26,1,0,0
181,45,0,0,0
182,63,1,0,0
183,59,0,0,0
184,41,1,0,0
185,113,0,0,0
186,58,0,0,0
187,25,1,0,0
188,28,1,0,0
189,48,0,0,0
190,18,0,0,0
191,36,1,0,0
192,31,0,0,0
193,30,0,0,0
194,23,0,0,0
195,34,0,0,0
196,33,1,0,0
197,43,0,0,0
198,20,1,0,0
199,43,1,0,0
200,36,1,0,0
201,28,0,0,0
202,34,0,0,0
203,54,0,0,0
204,56,0,0,0
205,103,0,0,0
206,166,0,0,0
207,279,0,0,0
208,197,0,0,0
209,246,1,0,0
210,297,0,0,0
211,288,1,0,0
212,324,2,0,0
213,332,0,0,0
214,397,0,0,0
215,266,0,0,0
216,280,1,0,0
217,320,2,0,0
218,441,1,0,0
219,371,3,0,0
220,323,5,0,0
221,299,2,0,0
222,248,1,0,0
223,235,0,0,0
224,267,2,0,0
225,195,3,0,0
226,198,2,0,0
227,168,2,0,0
228,167,1,0,0
229,119,2,0,0
230,136,5,0,0
231,156,3,0,0
232,155,2,0,0
233,176,4,0,0
234,136,5,0,0
235,121,3,0,0
236,109,5,0,0
237,106,4,0,0
238,113,0,0,0
239,153,5,0,0
240,126,5,0,0
241,110,1,0,0
242,82,5,0,0
243,70,2,0,0
244,61,3,0,0
245,110,0,0,0
246,125,5,0,0
247,114,2,0,0
248,61,4,0,0
249,95,2,0,0
250,50,5,0,0
251,38,1,0,0
252,113,6,0,0
253,77,2,0,0
254,63,1,0,0
255,75,4,0,0
256,64,1,0,0
257,73,1,0,0
258,75,0,0,0
259,114,3,0,0
260,69,2,0,0
261,54,1,0,0
262,72,2,0,0
263,58,2,0,0
264,97,1,0,0
265,102,1,0,0
266,84,4,0,0
267,99,1,0,0
268,47,2,0,0
269,73,2,0,0
270,91,1,0,0
271,76,0,0,0
272,58,3,0,0
273,91,3,0,0
274,119,3,0,0
275,155,2,0,0
