day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system
2,10,7,80,516,49,4,100,60,0,2,0,0,0
3,27,26,146,706,49,4,130,60,2,2,0,0,0
4,27,26,150,706,50,4,130,60,2,2,0,0,0
5,29,29,150,816,74,21,291,60,3,2,5,0,0
6,29,29,198,846,77,24,305,60,3,2,7,0,0
7,30,31,211,862,85,40,355,60,3,2,9,0,0
8,30,31,217,900,90,42,374,60,3,2,11,0,0
9,33,37,251,939,105,50,404,60,3,2,18,0,0
10,39,40,269,945,105,50,409,60,3,2,19,0,0
11,44,48,285,985,109,50,447,60,4,2,21,0,0
12,46,68,290,999,117,50,454,60,7,3,23,0,0
13,48,80,303,1036,120,56,474,60,7,3,27,0,0
14,49,81,317,1070,120,56,482,60,7,3,28,0,0
15,49,81,335,1105,123,56,526,60,7,3,29,0,0
16,57,83,353,1165,125,58,558,60,7,3,31,0,0
17,58,83,362,1205,135,62,585,60,7,3,33,0,0
18,74,86,374,1226,140,62,600,60,7,3,34,0,0
19,77,90,389,1249,150,64,617,60,8,3,34,0,0
20,81,95,404,1279,150,64,640,60,9,3,36,0,0
21,84,108,430,1375,190,70,819,60,11,3,43,10,0
22,86,108,444,1435,201,72,864,60,11,3,43,10,0
23,93,112,450,1448,205,72,879,60,12,3,43,11,0
24,95,115,466,1470,213,72,914,60,17,3,44,11,0
25,96,118,476,1487,230,74,947,60,21,3,44,12,0
26,97,121,498,1535,240,80,969,60,24,3,45,13,0
27,99,123,509,1556,252,80,1000,70,35,3,45,15,0
28,101,124,517,1578,267,80,1008,70,42,4,47,15,0
29,108,124,530,1597,280,82,1033,72,50,4,47,16,0
30,115,125,561,1625,291,90,1089,72,53,5,49,18,0
31,117,127,575,1640,293,91,1131,73,56,7,51,19,2
32,121,127,582,1664,294,93,1144,73,56,7,52,21,4
33,123,127,586,1694,302,95,1150,73,66,7,54,21,4
34,127,129,597,1710,303,96,1178,73,71,7,54,21,4
35,131,131,605,1723,305,96,1184,75,81,7,54,21,4
36,135,131,614,1735,311,96,1201,75,83,7,54,22,4
37,143,131,625,1751,316,96,1220,76,85,7,54,24,4
38,143,134,631,1776,317,100,1236,76,87,7,54,24,4
39,143,134,644,1830,325,105,1249,76,89,7,54,24,4
40,147,134,647,1844,330,107,1273,76,91,7,54,25,4
41,150,134,676,1858,332,107,1322,76,94,7,55,25,4
42,150,135,684,1861,332,107,1324,76,96,7,55,25,4
