"접종일","접종대상자","당일 1차접종자 수","1차접종 누계","1차접종률(%)","당일 2차접종자 수","2차접종 누계","2차접종률(%)","당일 3차접종자 수","3차접종 누계","3차접종률(%)","3차접종대상자","당일 4차접종자 수","4차접종 누계","4차접종률(%)"
"2022.04.05","9401888","332","8323745","88.5","275","8237703","87.6","2233","5917434","62.9","9401888","563","36496","0.4"
"2022.04.04","9401888","457","8323397","88.5","504","8237412","87.6","3869","5915191","62.9","9401888","548","35891","0.4"
"2022.04.03","9401888","11","8322696","88.5","7","8236668","87.6","66","5911055","62.9","9401888","8","35305","0.4"
"2022.04.02","9401888","966","8322699","88.5","394","8236677","87.6","3175","5910991","62.9","9401888","281","35289","0.4"
"2022.04.01","9401888","1615","8321849","88.5","945","8236414","87.6","6870","5907750","62.8","9401888","1027","34952","0.4"
"2022.03.31","9401888","685","8320098","88.5","597","8235332","87.6","5323","5900668","62.8","9401888","849","33828","0.4"
"2022.03.30","9401888","188","8318960","88.5","220","8234280","87.6","3966","5895152","62.7","9401888","881","32915","0.4"
"2022.03.29","9401888","243","8318728","88.5","581","8234002","87.6","3581","5891093","62.7","9401888","867","31991","0.3"
"2022.03.28","9401888","290","8318484","88.5","849","8233412","87.6","6606","5887380","62.6","9401888","734","31037","0.3"
"2022.03.27","9401888","4","8317913","88.5","1","8232275","87.6","84","5880451","62.5","9401888","5","30218","0.3"
"2022.03.26","9401888","242","8317917","88.5","184","8232282","87.6","5366","5880375","62.5","9401888","307","30216","0.3"
"2022.03.25","9401888","563","8317759","88.5","453","8232164","87.6","11536","5874719","62.5","9401888","1539","29829","0.3"
"2022.03.24","9401888","297","8317068","88.5","316","8231572","87.6","7240","5862830","62.4","9401888","892","28054","0.3"
"2022.03.23","9401888","278","8316674","88.5","202","8231149","87.5","5127","5855356","62.3","9401888","1031","27064","0.3"
"2022.03.22","9401888","302","8316319","88.5","208","8230867","87.5","5003","5850029","62.2","9401888","975","25760","0.3"
"2022.03.21","9401888","415","8315994","88.5","362","8230612","87.5","8570","5844830","62.2","9401888","1037","24671","0.3"
"2022.03.20","9401888","5","8315191","88.4","4","8229855","87.5","108","5835830","62.1","9401888","3","23400","0.2"
"2022.03.19","9401888","356","8315182","88.4","324","8229848","87.5","5192","5835718","62.1","9401888","343","23396","0.2"
