region_data,2017_pop,2017_pop_den,2018_pop,2018_pop_den,2019_pop,2019_pop_den,2020_pop,2020_pop_den
1,9766,16136,9705,16034,9662,15964,9602,15865 
2,3424,4447,3400,4416,3373,4380,3344,4342 
3,2458,2782,2450,2773,2432,2753,2419,2738 
4,2924,2750,2939,2764,2944,2769,2951,2770 
5,1495,2984,1493,2980,1494,2980,1488,2969 
6,1528,2832,1518,2813,1509,2796,1500,2780 
7,1159,1092,1154,1088,1147,1080,1140,1073 
8,266,571,304,653,331,712,349,750 
9,12786,1255,13031,1279,13238,1299,13405,1315 
10,1521,90,1521,90,1517,90,1515,90
11,1609,217,1619,219,1626,219,1632,220 
12,2153,262,2180,265,2188,265,2204,267 
13,1829,227,1820,226,1803,223,1792,222 
14,1795,146,1790,145,1773,144,1764,143 
15,2675,141,2674,141,2665,140,2655,140 
16,3339,317,3356,318,3350,318,3350,318 
17,635,343,653,353,660,356,670,362 
18,25476,2149,25675,2165,25844,2179,25958,2188
0,51362,512,51607,514,51709,515,51781,516 
